"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP2178",574.851633545736,574.849914550781,574.856262207031,26.28591222402,25.15160094402,28.00450273602,54790.0786554813,54787.7963340477,49547.375,49546,2,0
"CP2179",585.886614346618,585.88623046875,585.887268066406,26.28591222402,25.15160094402,28.00450273602,39845.5504641595,39843.2681427259,26237.390625,26236,2,0
"CP2180",614.840456148184,614.840209960938,614.848815917969,26.28591222402,24.00615312,28.00450273602,436431.099253212,436427.672096399,396861.9375,396861,2,0
"CP2181",616.83778846546,616.8369140625,616.839904785156,26.28591222402,24.58220516802,28.00450273602,202510.23418784,202507.3822732,119394.1796875,119393,2,0
"CP2182",622.856394290843,622.852478027344,622.857177734375,26.854651584,24.58220516802,28.58162761602,186498.052963511,186494.624887127,188419.25,188418,2,0
"CP2183",652.810045272942,652.804626464844,652.81298828125,26.854651584,24.58220516802,28.00450273602,69287.0545132603,69284.2025986203,47856.76171875,47856,2,0
"CP2184",670.855109067882,670.848510742188,670.857727050781,26.28591222402,24.58220516802,28.00450273602,97088.6124006118,97085.7604859718,64842.75,64842,2,0
"CP2186",685.83235190293,685.828735351562,685.8330078125,26.28591222402,25.15160094402,28.00450273602,64509.8175495335,64507.5352281,58644.73828125,58644,2,0
"CP2187",700.805727471336,700.801940917969,700.807800292969,26.28591222402,25.15160094402,28.00450273602,59855.4425628644,59853.1602414308,40897.1640625,40896,2,0
"CP2188",702.807423187523,702.800354003906,702.809204101562,26.28591222402,24.58220516802,28.00450273602,72140.0731561542,72137.2212415142,46456.82421875,46456,2,0
"CP2190",115.989243225202,115.989196777344,115.989295959473,26.28591222402,24.00615312,28.58162761602,124798.810934878,124794.807394694,54402.55859375,54402,2,0
"CP2191",116.986055716692,116.98592376709,116.986137390137,26.28591222402,24.00615312,28.58162761602,129352.908268928,129348.904728744,54380.578125,54380,2,0
"CP2194",131.98647988538,131.986358642578,131.986831665039,26.28591222402,24.00615312,29.15574598398,163300.575416674,163295.998000795,81366.2265625,81365,2,0
"CP2197",161.979364828133,161.979278564453,161.979431152344,26.28591222402,24.00615312,29.15574598398,338657.450034709,338652.87261883,180398.9375,180398,2,0
"CP2198",176.952121059662,176.952041625977,176.952377319336,26.28591222402,24.00615312,28.58162761602,221787.7700332,221783.766493016,94120.25,94119,2,0
"CP2199",180.981826122284,180.98176574707,180.981918334961,25.15160094402,22.288996161,28.58162761602,2383134.02394265,2374799.04573784,843647.9375,442,2,0
"CP2200",222.899153377166,222.899032592773,222.899261474609,26.28591222402,24.00615312,28.58162761602,356546.649452722,356542.645912538,185667.015625,185666,2,0
"CP2201",238.957077323215,238.956771850586,238.957122802734,24.58220516802,22.288996161,28.58162761602,4940558.20314151,4940552.48256746,3324379.75,3324379,2,0
"CP2202",244.964101581592,244.964080810547,244.964172363281,26.28591222402,24.00615312,28.58162761602,2448778.23659809,2448774.23305791,1651725.375,1651724,2,0
"CP2203",264.963356904572,264.963287353516,264.963409423828,25.72179448002,23.41173568002,28.58162761602,5965577.37757553,5965572.78211603,3554731.75,3554731,2,0
"CP2204",266.952017667634,266.951873779297,266.952117919922,24.58220516802,22.288996161,28.58162761602,6678678.62058105,6678672.900007,4399207,4399206,2,0
"CP2205",270.898300161256,270.898223876953,270.8984375,26.28591222402,24.00615312,29.15574598398,500184.079693321,499686.996320524,259186.734375,387,2,0
"CP2206",273.960210583647,273.959411621094,273.960479736328,26.28591222402,23.41173568002,28.58162761602,15855142.5530087,15855137.9575492,10894749,10894748,2,0
"CP2208",289.937375556741,289.936614990234,289.9375,26.28591222402,24.00615312,28.58162761602,3301592.79795438,3301588.7944142,1800834.625,1800834,2,0
"CP2209",290.934116910806,290.934020996094,290.934204101562,26.28591222402,24.00615312,28.58162761602,4292812.51489604,4292808.51135585,2531060.75,2531060,2,0
"CP2210",304.909060321015,304.908843994141,304.9091796875,26.28591222402,23.41173568002,28.58162761602,6679879.7423277,6679875.1468682,4412633.5,4412632,2,0
"CP2211",304.913815228772,304.913726806641,304.914245605469,26.28591222402,24.00615312,29.15574598398,4767380.92790118,4767376.3504853,2376370.5,2376370,2,0
"CP2212",308.93598363571,308.935821533203,308.938003540039,25.72179448002,24.00615312,28.58162761602,1079502.9321104,1079358.42140959,689960.4375,2192,2,0
"CP2213",320.886527645983,320.886383056641,320.886627197266,26.28591222402,24.00615312,28.58162761602,1765353.95751893,1765349.95397875,954865.5,954864,2,0
"CP2214",336.931794304465,336.930908203125,336.935791015625,26.28591222402,24.00615312,28.58162761602,282382.386232187,282378.382692003,197997.75,197997,2,0
"CP2218",356.924103193209,356.924011230469,356.924163818359,26.854651584,24.00615312,28.58162761602,1512581.78464834,1512577.78110815,1290691.125,1290690,2,0
"CP2219",357.924800410824,357.924255371094,357.925598144531,26.854651584,24.58220516802,28.58162761602,168684.087511364,168680.65943498,152403.859375,152403,2,0
"CP2220",358.921551590918,358.921478271484,358.921630859375,26.854651584,24.58220516802,28.58162761602,211001.700245857,210998.272169473,197189.40625,197188,2,0
"CP2223",402.857009003026,402.85693359375,402.857086181641,26.28591222402,24.58220516802,28.58162761602,823554.951398133,823551.523321749,499481.0625,499480,2,0
"CP2226",409.93502222533,409.934387207031,409.935424804688,26.854651584,24.58220516802,28.58162761602,315928.417318858,315924.989242474,296344.59375,296344,2,0
"CP2228",424.91162286638,424.911437988281,424.912475585938,27.42826907298,24.58220516802,29.15574598398,731011.065578155,731007.063729941,1019318.0625,1019317,2,0
